"site","lat","long","dates"
11939,56.0903,-3.9383,1
11941,50.9156,-1.9698,1
11943,52.0694,-9.5312,3
11944,51.553,-0.4816,5
11945,51.7342,-2.9275,14
11946,51.7155,-2.8395,1
11948,51.5641,-9.5338,15
11950,51.7096,-2.8624,1
11951,52.6995,-3.6862,2
11962,50.8302,-0.7395,8
11964,52.2568,-7.1292,1
11965,52.1965,-7.4237,1
11969,52.1977,-7.4179,2
11971,52.1905,-7.4502,2
11972,52.2568,-7.1292,1
11973,52.2568,-7.1292,1
11976,52.1965,-7.4237,2
11979,52.1965,-7.4237,1
11981,52.6639,-8.6268,3
11987,53.9868,-6.3869,4
11993,53.1894,-2.891,3
11997,52.6354,-3.7333,1
12004,51.8785,-8.6454,1
12005,51.8785,-8.6454,4
12006,51.8785,-8.6454,1
12007,51.8764,-8.5692,8
12009,51.94,-7.883,1
12010,53.2229,-0.3568,1
12011,51.463,-3.4525,2
12012,53.2821,-2.7826,7
12013,52.3719,-8.15,8
12015,53.29,-2.8013,1
12022,51.8812,-8.6457,1
12023,51.5446,-0.4779,1
12030,52.7909,-0.17,1
12039,52.3331,-0.5824,3
12040,52.226,-1.0569,3
12046,53.1994,0.1086,9
12047,51.2947,-0.0508,4
12053,52.3331,-0.5824,4
12054,53.6978,-0.9094,1
12058,51.3963,0.7554,1
12060,53.6388,-6.6561,34
12083,52.609,-3.1814,7
12084,52.6993,-8.5154,4
12095,53.4566,-7.105,1
12096,53.4108,-6.8948,1
12102,53.4451,-7.0885,1
12174,50.9706,-3.6236,5
12175,51.4321,-0.4857,6
12176,52.4205,0.7706,10
12178,51.8932,-8.5651,1
12179,52.1854,-8.9294,1
12180,51.8724,-8.547,1
12184,51.8724,-8.547,5
12194,51.8724,-8.547,2
12226,51.8724,-8.547,3
12241,50.8797,-0.8841,2
12253,52.5065,-8.7617,1
12257,52.4452,-8.5785,2
12258,52.7081,-9.091,2
12259,52.7845,-9.0808,1
12261,52.5244,-8.8527,1
12270,52.7233,-9.079,1
12276,52.6369,-9.1475,2
12290,52.528,-8.8381,3
12300,52.8916,-8.9288,2
12301,52.6445,-8.6463,5
12314,52.4611,-8.6284,2
12325,52.4993,-8.7634,2
12334,53.4147,-7.5285,1
12351,51.6345,-5.0288,12
12390,51.1557,1.3209,1
12391,52.5193,-4.0125,5
12392,52.5085,-3.9862,6
12393,51.2631,1.2911,4
12394,53.4469,-6.971,1
12396,57.253,-2.3779,4
12397,53.288,-2.201,3
12398,53.6971,-0.4752,1
12399,52.5121,-9.5748,1
12401,52.7615,-3.0824,1
12403,51.94,-7.883,1
12404,53.6351,-0.6346,4
12410,52.6274,-8.5471,4
12412,51.6639,-1.3608,5
12413,52.5334,-1.4044,4
12414,51.7045,-4.9973,3
12415,52.2509,-7.1951,16
12416,52.6763,-0.1669,7
12417,52.2314,-7.1031,2
12418,53.4835,-1.2304,3
12419,55.2912,-2.2914,8
12420,55.2912,-2.2914,1
12421,55.299,-2.297,1
12422,55.2956,-2.2946,6
12423,55.2885,-2.2768,1
12424,55.2574,-2.1557,4
12425,51.4858,-0.2421,2
12426,53.4061,-6.7391,9
12427,53.4061,-6.7391,1
12428,52.3816,-3.9225,1
12429,52.0522,-4.3316,8
12430,54.2645,-8.4812,34
12431,53.709,-6.3882,1
12432,55.19,-6.655,2
12435,52.4659,-3.409,2
12436,52.4834,-3.8105,6
12437,52.4821,-3.8094,5
12438,53.2473,-3.9348,2
12439,53.2491,-3.9289,4
12440,52.983,-4.2532,3
12441,54.2878,-1.5944,5
12442,54.2883,-1.5937,1
12443,53.9843,-2.1043,3
12444,52.411,-1.2383,3
12446,52.3318,-0.5823,1
12447,51.2987,1.1046,8
12448,51.5343,-2.8953,29
12450,52.8646,-3.68,2
12451,51.5,-0.0781,1
12455,53.7427,-0.5595,6
12456,53.177,-0.3693,2
12457,53.2318,-0.4311,13
12458,51.9484,-3.9672,23
12459,54.2058,-1.8712,2
12460,51.4441,-2.8216,5
12461,51.8035,-0.7195,2
12462,52.7367,-3.0969,7
12463,55.1909,-6.6454,4
12464,54.9086,-1.3886,1
12465,52.2482,-3.9709,2
12467,52.3583,0.1444,2
12468,53.5722,-3.0405,1
12469,53.8083,-0.4099,1
12472,50.7958,0.0115,25
12474,52.3622,-3.7467,29
12475,51.5004,-0.0905,8
12476,51.532,-2.9644,5
12477,51.5338,-2.9573,7
12478,53.3492,-0.7758,10
12479,52.564,-0.1795,17
12480,52.6807,-0.1517,1
12481,51.2651,-0.2815,2
